Item,Qty,Reference(s),Manufacturer,mpn,Datasheet,populate
3,1,C1,KYOCERA AVX,KGM15CR50J106MT,datasheets/AVX-CX5R-KGM-MLCC.pdf,1
4,3,"C2, C3, C4",KYOCERA AVX,06036D104KAT2A,datasheets/AVX-CX5R-KGM-MLCC.pdf,1
6,1,D1,Inolux,IN-PI15TAT5R5G5B,datasheets/IN-PI15TAT5R5G5B.pdf,1
9,1,J3,GCT,MEM2061-01-188-00-A,datasheets/GCT-MEM2061.pdf,1
10,1,J4,JST Sales America Inc.,SM04B-SRSS-TB,datasheets/JST-eSH.pdf,1
12,9,"R1, R2, R3, R4, R5, R6, R7, R10, R11",Vishay Dale,CRCW060310K0JNEB,datasheets/Vishay-Dale-DCRCWe3.pdf,1
13,2,"R8, R9",Vishay Dale,CRCW06034K70JNEA,datasheets/Vishay-Dale-DCRCWe3.pdf,1
14,1,R12,Vishay Dale,CRCW0603470RJNEB,datasheets/Vishay-Dale-DCRCWe3.pdf,1
15,1,SW1,C&K,JS102011SAQN,datasheets/CK-JS-SERIES.pdf,1
17,1,U1,STMicroelectronics,LPS22HBTR,datasheets/ST-LPS22HB.pdf,1
18,1,U2,Sensirion,SHT41-AD1B-R3,datasheets/Sensirion-SHT4x.pdf,1
19,1,U3,Microchip,11AA010T-I/TT,datasheets/Microchip-11AAxxx_11LCxxx.pdf,1
